類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,2502186,0.96%,3805343,1.46%,3912284,1.50%,391217,0.15%,0,0.00%,150315,0.06%,10761345,4.13%
AA1,1050148,兆豐國際國民基金,2265753,0.69%,3410810,1.04%,4917751,1.50%,557341,0.17%,0,0.00%,259390,0.08%,11411045,3.48%
AA2,992769,兆豐國際全球基金,15039542,1.21%,2443795,0.20%,18273915,1.48%,3219676,0.26%,0,0.00%,173759,0.01%,39150687,3.16%
AB1,971976,兆豐國際萬全基金,1665354,0.74%,2552467,1.13%,2709979,1.20%,270989,0.12%,0,0.00%,159328,0.07%,7358117,3.26%
AA1,73991751,兆豐國際電子基金,2785113,0.58%,4249685,0.89%,7187450,1.50%,766661,0.16%,0,0.00%,100295,0.02%,15089204,3.15%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,75428917,0.12%,28857232,0.05%,0,0.00%,1824025,0.00%,106110174,0.17%
AA2,14699772,兆豐國際生命科學基金,911500,0.36%,86577,0.03%,4324132,1.70%,661333,0.26%,0,0.00%,110564,0.04%,6094106,2.40%
AA1,10341837,兆豐國際豐台灣基金,2458842,0.56%,3778352,0.87%,6955939,1.60%,652123,0.15%,0,0.00%,100315,0.02%,13945571,3.20%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,4928615,1.80%,711913,0.26%,0,0.00%,110940,0.04%,5751468,2.10%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,3390579,0.41%,932410,0.11%,0,0.00%,131070,0.02%,4454059,0.54%
AA2,38592074,兆豐國際中國A股基金,7423251,0.06%,6067640,0.05%,238988072,1.99%,31168174,0.26%,0,0.00%,186495,0.00%,283833632,2.37%
AE24,42312011,兆豐國際目標策略ETF組合基金,256377,0.16%,4146,0.00%,1913082,1.20%,255077,0.16%,0,0.00%,110725,0.07%,2539407,1.59%
AB2,42334401,兆豐國際大中華平衡基金,182040,0.13%,134487,0.09%,2426229,1.70%,371067,0.26%,0,0.00%,117487,0.08%,3231310,2.26%
AD2,42406642,兆豐國際美元貨幣市場基金,0,0.00%,0,0.00%,1086947,0.30%,362315,0.10%,0,0.00%,140624,0.04%,1589886,0.44%
AH11,42482107,兆豐國際臺灣藍籌30ETF基金,295276,0.07%,651096,0.15%,1380358,0.32%,150980,0.04%,0,0.00%,661115,0.15%,3138825,0.73%
AH13,42482113,兆豐國際臺灣藍籌30單日反向一倍ETF基金,57100,0.05%,48960,0.05%,691584,0.65%,42554,0.04%,0,0.00%,464421,0.44%,1304619,1.23%
AC21,42541416,兆豐國際三年到期新興債券基金,0,0.00%,0,0.00%,0,0.00%,1167362,0.10%,0,0.00%,185889,0.02%,1353251,0.12%
AC21,72938272,兆豐國際三年到期新興亞洲債券基金,0,0.00%,0,0.00%,0,0.00%,1345464,0.10%,0,0.00%,196403,0.01%,1541867,0.12%
AI2,75966911,兆豐國際丹麥資產擔保債券指數基金,0,0.00%,0,0.00%,22578535,1.04%,3913617,0.18%,0,0.00%,897965,0.04%,27390117,1.26%
AA2,76303709,兆豐國際中國內需A股基金,2530919,0.11%,1125239,0.05%,18059289,0.76%,2391630,0.10%,0,0.00%,104226,0.00%,24211303,1.02%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,23647204,0.07%,19491902,0.06%,0,0.00%,405459,0.00%,43544565,0.13%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,18451795,0.05%,14761399,0.04%,0,0.00%,527065,0.00%,33740259,0.09%
AA1,20092528,第一金店頭市場基金,1084986,0.36%,1833145,0.61%,4771085,1.60%,447295,0.15%,0,0.00%,180530,0.06%,8317041,2.79%
AA1,73989002,第一金小型精選基金,1721286,0.36%,2900483,0.61%,7617229,1.60%,714109,0.15%,0,0.00%,180865,0.04%,13133972,2.76%
AA1,19341318,第一金電子基金,1509539,0.19%,2550714,0.32%,12768869,1.60%,1197079,0.15%,0,0.00%,180485,0.02%,18206686,2.28%
AA2,17612378,第一金亞洲科技基金,677926,0.17%,286889,0.07%,7166938,1.75%,1064805,0.26%,0,0.00%,204584,0.05%,9401142,2.30%
AA1,15739619,第一金大中華基金,618026,0.22%,1103691,0.39%,4514484,1.60%,423230,0.15%,0,0.00%,180613,0.06%,6840044,2.42%
