類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,2824261,1.10%,4323655,1.68%,3862123,1.50%,386200,0.15%,0,0.00%,150400,0.06%,11546639,4.48%
AA1,1050148,兆豐國際國民基金,2883050,0.82%,4383894,1.25%,5265675,1.50%,596781,0.17%,0,0.00%,256423,0.07%,13385823,3.81%
AA2,992769,兆豐國際全球基金,7220842,0.62%,952342,0.08%,17287258,1.48%,3030391,0.26%,0,0.00%,164822,0.01%,28655655,2.46%
AB1,971976,兆豐國際萬全基金,1624645,0.68%,2477810,1.04%,2863303,1.20%,286329,0.12%,0,0.00%,159488,0.07%,7411575,3.11%
AA1,73991751,兆豐國際電子基金,4817209,1.07%,7315449,1.62%,6781911,1.50%,723406,0.16%,0,0.00%,100380,0.02%,19738355,4.37%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,84305897,0.12%,31076470,0.04%,0,0.00%,4107039,0.01%,119489406,0.17%
AA2,14699772,兆豐國際生命科學基金,487443,0.18%,18740,0.01%,4495294,1.70%,687513,0.26%,0,0.00%,110738,0.04%,5799728,2.19%
AA1,10341837,兆豐國際豐台灣基金,3134163,0.76%,4824879,1.17%,6612490,1.60%,619913,0.15%,0,0.00%,100420,0.02%,15291865,3.70%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,3992413,1.80%,576679,0.26%,0,0.00%,110320,0.05%,4679412,2.11%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,2672835,0.39%,735031,0.11%,0,0.00%,132127,0.02%,3539993,0.52%
AA2,38592074,兆豐國際中國A股基金,16066930,0.22%,12375786,0.17%,148327320,1.99%,19333323,0.26%,0,0.00%,713906,0.01%,196817265,2.65%
AE24,42312011,兆豐國際目標策略ETF組合基金,196852,0.16%,3224,0.00%,1473284,1.20%,196440,0.16%,0,0.00%,110090,0.09%,1979890,1.61%
AD2,42406642,兆豐國際美元貨幣市場基金,0,0.00%,0,0.00%,830394,0.28%,282666,0.10%,0,0.00%,129878,0.04%,1242938,0.43%
AH11,42482107,兆豐國際臺灣藍籌30ETF基金,333090,0.09%,595788,0.16%,1199093,0.32%,131148,0.04%,0,0.00%,627584,0.17%,2886703,0.77%
AI2,75966911,兆豐國際丹麥資產擔保債券指數基金,0,0.00%,0,0.00%,10193300,1.46%,1797632,0.26%,0,0.00%,1266229,0.18%,13257161,1.90%
AA2,76303709,兆豐國際中國內需A股基金,3127783,0.45%,2263801,0.33%,13835669,2.00%,1798636,0.26%,0,0.00%,483172,0.07%,21509061,3.11%
AC21,76858664,兆豐國際六年到期新興市場債券基金,0,0.00%,0,0.00%,37478862,2.96%,1284984,0.10%,0,0.00%,123689,0.01%,38887535,3.08%
AA1,88090408,兆豐國際台灣先進通訊基金,4184949,0.18%,4832593,0.21%,10181493,0.44%,954518,0.04%,0,0.00%,50000,0.00%,20203553,0.88%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,23417970,0.07%,19381496,0.06%,0,0.00%,546990,0.00%,43346456,0.13%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,19429565,0.05%,15543620,0.04%,0,0.00%,641127,0.00%,35614312,0.09%
AA1,20092528,第一金店頭市場基金,449215,0.15%,788828,0.26%,4931919,1.60%,462362,0.15%,0,0.00%,180600,0.06%,6812924,2.21%
AA1,73989002,第一金小型精選基金,1024526,0.22%,1825061,0.39%,7551337,1.60%,707943,0.15%,0,0.00%,180675,0.04%,11289542,2.39%
AA1,19341318,第一金電子基金,1562490,0.18%,2782627,0.31%,14247269,1.60%,1335682,0.15%,0,0.00%,180615,0.02%,20108683,2.26%
AA2,17612378,第一金亞洲科技基金,326626,0.08%,275418,0.07%,7276636,1.75%,1081112,0.26%,0,0.00%,201031,0.05%,9160823,2.20%
AB1,99353151,第一金中概平衡基金,381180,0.16%,723354,0.30%,2862600,1.20%,286249,0.12%,0,0.00%,180622,0.08%,4434005,1.86%
AG,48892846,第一金全球不動產證券化基金,52353,0.03%,4320,0.00%,2662612,1.75%,349964,0.23%,0,0.00%,181838,0.12%,3251087,2.14%
AA2,10338642,第一金全球大趨勢基金,843220,0.16%,22816,0.00%,9554138,1.85%,1240006,0.24%,0,0.00%,199783,0.04%,11859963,2.30%
AC23,25593418,第一金全球高收益債券基金,0,0.00%,0,0.00%,35624723,1.50%,4037488,0.17%,0,0.00%,203150,0.01%,39865361,1.68%
AA2,25620512,第一金中國世紀基金,5237701,0.30%,3912873,0.22%,31338993,1.80%,4352547,0.25%,0,0.00%,585649,0.03%,45427763,2.61%
AA2,25652648,第一金亞洲新興市場基金,597094,0.20%,258142,0.09%,5618703,1.85%,789657,0.26%,0,0.00%,406196,0.13%,7669792,2.53%
AA1,26202396,第一金創新趨勢基金,1644410,0.16%,3137488,0.30%,16592563,1.60%,1659266,0.16%,0,0.00%,180937,0.02%,23214664,2.24%
AD2,38646796,第一金人民幣貨幣市場基金,0,0.00%,0,0.00%,1413091,0.40%,388609,0.11%,0,0.00%,189106,0.05%,1990806,0.56%
AA2,42399017,第一金全球AI機器人及自動化產業基金,6495635,0.14%,1372411,0.03%,95541727,2.00%,12420433,0.26%,0,0.00%,161460,0.00%,115991666,2.43%
AA2,42455621,第一金全球AI FinTech金融科技基金,1338806,0.12%,150399,0.01%,21946346,2.00%,2853031,0.26%,0,0.00%,215771,0.02%,26504353,2.42%
AE23,42480678,第一金全球大四喜收益組合基金,54674,0.04%,666,0.00%,1972877,1.30%,227746,0.15%,0,0.00%,200180,0.13%,2456143,1.62%
AA2,42539761,第一金全球水電瓦斯及基礎建設收益基金,1600609,0.08%,136669,0.01%,36938289,1.80%,5335512,0.26%,0,0.00%,201656,0.01%,44212735,2.15%
AH11,72949242,第一金臺灣工業菁英30 ETF基金,256194,0.09%,590965,0.20%,1189129,0.40%,104047,0.04%,0,0.00%,663272,0.22%,2803607,0.94%
