類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐第一基金,1202984,0.74%,1801730,1.11%,0,0.00%,2418646,1.49%,242692,0.15%,0,0.00%,154053,0.10%,5820105,3.60%
AA1,1050148,兆豐國民基金,2519300,0.51%,3779449,0.77%,0,0.00%,7343132,1.50%,832220,0.17%,0,0.00%,316858,0.06%,14790959,3.02%
AA2,992769,兆豐全球基金,3698162,0.35%,499807,0.05%,0,0.00%,15835567,1.50%,2744830,0.26%,0,0.00%,186260,0.02%,22964626,2.18%
AB1,971976,兆豐萬全基金,1441520,0.42%,2083644,0.61%,0,0.00%,4114401,1.20%,411451,0.12%,0,0.00%,191638,0.06%,8242654,2.40%
AA1,73991751,兆豐電子基金,2132619,0.30%,3230717,0.46%,0,0.00%,10490772,1.50%,1119021,0.16%,0,0.00%,100270,0.01%,17073399,2.44%
AD1,18044796,兆豐寶鑽貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,74603994,0.12%,28651010,0.05%,0,0.00%,2856962,0.00%,106111966,0.17%
AA2,14699772,兆豐生命科學基金,701450,0.31%,18703,0.01%,0,0.00%,3885560,1.70%,594266,0.26%,0,0.00%,132321,0.06%,5332300,2.33%
AA1,10341837,兆豐豐台灣基金,1160154,0.22%,1754314,0.33%,0,0.00%,8390132,1.60%,786570,0.15%,0,0.00%,100245,0.02%,12191415,2.32%
AD2,38522710,兆豐人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,1697854,0.41%,466913,0.11%,0,0.00%,127214,0.03%,2291981,0.55%
AA2,38592074,兆豐中國A股基金,7254421,0.15%,3137865,0.07%,0,0.00%,95151745,2.00%,12379454,0.26%,0,0.00%,445216,0.01%,118368701,2.49%
