類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐第一基金,1016687,0.69%,1581625,1.08%,0,0.00%,2202757,1.50%,220281,0.15%,0,0.00%,160362,0.11%,5181712,3.53%
AA1,1050148,兆豐國民基金,3760841,0.72%,5670135,1.08%,0,0.00%,7844442,1.50%,889041,0.17%,0,0.00%,281240,0.05%,18445699,3.53%
AA2,992769,兆豐全球基金,7308672,0.61%,237867,0.02%,0,0.00%,18031407,1.50%,3125447,0.26%,0,0.00%,181750,0.02%,28885143,2.40%
AB1,971976,兆豐萬全基金,2557200,0.68%,3876197,1.03%,0,0.00%,4499105,1.20%,450146,0.12%,0,0.00%,179463,0.05%,11562111,3.08%
AA1,73991751,兆豐電子基金,1826243,0.22%,2845484,0.34%,0,0.00%,12707217,1.50%,1355441,0.16%,0,0.00%,110290,0.01%,18844675,2.22%
AD1,18044796,兆豐寶鑽貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,76936513,0.12%,29234128,0.05%,0,0.00%,1491210,0.00%,107661851,0.17%
AA2,14699772,兆豐生命科學基金,1042227,0.44%,14551,0.01%,0,0.00%,4044296,1.70%,618545,0.26%,0,0.00%,133040,0.06%,5852659,2.46%
AA1,10341837,兆豐豐台灣基金,4416424,0.77%,6599563,1.15%,0,0.00%,9159536,1.60%,858706,0.15%,0,0.00%,110435,0.02%,21144664,3.69%
AD2,38522710,兆豐人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,1600393,0.40%,440108,0.11%,0,0.00%,141090,0.04%,2181591,0.54%
AA2,38592074,兆豐中國A股基金,5136754,0.12%,1573406,0.04%,0,0.00%,84245926,2.00%,10951971,0.26%,0,0.00%,442331,0.01%,102350388,2.43%
AD2,42406642,兆豐美元貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,587458,0.15%,274149,0.07%,0,0.00%,139880,0.04%,1001487,0.26%
AH11,42482107,兆豐臺灣藍籌30ETF基金,3454430,0.17%,3589774,0.18%,5419269,0.27%,6331837,0.32%,692549,0.04%,0,0.00%,1303674,0.07%,9952995,0.50%
AA2,76303709,兆豐中國內需A股基金,3797890,0.43%,1322499,0.15%,0,0.00%,17795382,2.00%,2313398,0.26%,0,0.00%,388343,0.04%,25617512,2.88%
AC21,76858664,兆豐六年到期新興市場債券基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,6591627,0.60%,1318323,0.12%,0,0.00%,121454,0.01%,8031404,0.73%
AA1,88090408,兆豐台灣先進通訊基金,1045316,0.22%,1750219,0.37%,0,0.00%,7641615,1.60%,716403,0.15%,0,0.00%,120310,0.03%,11273863,2.36%
AC23,88119427,兆豐新興市場短期非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,11600412,1.70%,1774170,0.26%,0,0.00%,174770,0.03%,13549352,1.99%
AA1,88198077,兆豐台灣金傳精選股息基金,3172057,0.52%,6288870,1.03%,0,0.00%,9784526,1.60%,917291,0.15%,0,0.00%,120460,0.02%,20283204,3.32%
AA2,88277760,兆豐全球元宇宙科技基金,1321592,0.27%,735969,0.15%,0,0.00%,9639374,2.00%,1349511,0.28%,0,0.00%,120704,0.03%,13167150,2.73%
AH21,88317812,兆豐洲際半導體ETF基金,1583058,0.33%,8252,0.00%,1115937,0.23%,4045422,0.85%,951871,0.20%,0,0.00%,858998,0.18%,6331664,1.33%
AH11,88321560,兆豐特選台灣晶圓製造ETF基金,670378,0.27%,899232,0.36%,899710,0.36%,1137037,0.45%,101075,0.04%,0,0.00%,647503,0.26%,2555515,1.01%
AG,88342220,兆豐新加坡交易所房地產收益基金 (本基金之配息來源可能為本金),401973,0.10%,111443,0.03%,0,0.00%,7598103,1.80%,1097512,0.26%,0,0.00%,187326,0.04%,9396357,2.23%
AH11,88351249,兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),7636264,0.33%,10158648,0.43%,4391458,0.19%,9952660,0.43%,916861,0.04%,0,0.00%,1628880,0.07%,25901855,1.11%
AJ2,88394063,兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),5399999,0.97%,12027,0.00%,0,0.00%,9994370,1.80%,1443635,0.26%,0,0.00%,145007,0.03%,16995038,3.06%
AH11,93111473,兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),15075767,0.34%,17598840,0.40%,12971377,0.30%,19194305,0.44%,1733097,0.04%,0,0.00%,2349578,0.05%,42980210,0.98%
AE22,93150643,兆豐全球債券ETF策略收益組合基金 (本基金之配息來源可能為本金),1749612,0.16%,58785,0.01%,0,0.00%,10525527,0.95%,1551132,0.14%,0,0.00%,123325,0.01%,14008381,1.26%
AJ2,93106751,兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),9397889,0.24%,1538867,0.04%,0,0.00%,54742936,1.38%,7302805,0.18%,0,0.00%,165041,0.00%,73147538,1.84%
AH11,93211796,兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),10927262,0.63%,12711907,0.74%,15094893,0.87%,5035592,0.29%,447611,0.03%,0,0.00%,1396207,0.08%,15423686,0.89%
AH22,512527,兆豐美國企業優選投資級公司債ETF基金 (基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,3294177,0.10%,1098061,0.03%,0,0.00%,1041792,0.03%,5434030,0.17%
AJ2,526748,兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3498876,0.09%,1388895,0.03%,0,0.00%,7732030,0.19%,1193706,0.03%,0,0.00%,82130,0.00%,13895637,0.35%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,15519139,0.07%,13302129,0.06%,0,0.00%,1104008,0.00%,29925276,0.13%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,27628050,0.05%,22102426,0.04%,0,0.00%,2740574,0.00%,52471050,0.09%
AA1,20092528,第一金店頭市場基金,2165155,0.57%,3648362,0.96%,0,0.00%,6097961,1.60%,571687,0.15%,0,0.00%,190490,0.05%,12673655,3.33%
AA1,73989002,第一金小型精選基金,4922965,0.62%,8290634,1.04%,0,0.00%,12721698,1.60%,1192670,0.15%,0,0.00%,190490,0.02%,27318457,3.44%
AA1,19341318,第一金電子基金,3599370,0.21%,6048281,0.35%,0,0.00%,27732684,1.60%,2599943,0.15%,0,0.00%,191507,0.01%,40171785,2.32%
AA2,17612378,第一金亞洲科技基金,149330,0.03%,195344,0.04%,0,0.00%,9459926,1.75%,1405472,0.26%,0,0.00%,211537,0.04%,11421609,2.11%
AB1,99353151,第一金中概平衡基金,2146514,0.56%,3613797,0.94%,0,0.00%,4615607,1.20%,461557,0.12%,0,0.00%,190500,0.05%,11027975,2.87%
AG,48892846,第一金全球不動產證券化基金 (本基金之配息來源可能為本金),177930,0.14%,20610,0.02%,0,0.00%,2281610,1.75%,299869,0.23%,0,0.00%,195635,0.15%,2975654,2.28%
AA2,10338642,第一金全球大趨勢基金,649561,0.07%,2604,0.00%,0,0.00%,15611078,1.62%,2312322,0.24%,0,0.00%,215575,0.02%,18791140,1.95%
AC23,25593418,第一金全球非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,22684107,1.50%,2573202,0.17%,0,0.00%,221930,0.01%,25479239,1.68%
AA2,25620512,第一金中國世紀基金,935315,0.07%,413305,0.03%,0,0.00%,25634080,1.80%,3560286,0.25%,0,0.00%,340639,0.02%,30883625,2.17%
AA2,25652648,第一金亞洲新興市場基金,30594,0.01%,8046,0.00%,0,0.00%,6040226,1.85%,848897,0.26%,0,0.00%,418739,0.13%,7346502,2.25%
AA1,26202396,第一金創新趨勢基金,3780518,0.22%,6395927,0.38%,0,0.00%,27025384,1.60%,2702546,0.16%,0,0.00%,191727,0.01%,40096102,2.37%
AA2,42399017,第一金全球AI機器人及自動化產業基金,6858114,0.18%,370007,0.01%,0,0.00%,76449864,1.98%,10020796,0.26%,0,0.00%,170910,0.00%,93869691,2.44%
AA2,42455621,第一金全球AI FinTech金融科技基金,1864445,0.17%,161230,0.01%,0,0.00%,21636055,2.00%,2817075,0.26%,0,0.00%,214792,0.02%,26693597,2.46%
AA2,42539761,第一金全球水電瓦斯及基礎建設收益基金 (本基金之配息來源可能為本金),9057020,0.16%,2678932,0.05%,0,0.00%,100395980,1.75%,14875789,0.26%,0,0.00%,272672,0.00%,127280393,2.22%
AH11,72949242,第一金臺灣工業菁英30 ETF基金,2232250,0.12%,5290117,0.29%,4027080,0.22%,7250036,0.40%,634390,0.04%,0,0.00%,1333774,0.07%,12713487,0.70%
AA2,72960196,第一金全球AI精準醫療基金,4548882,0.13%,54225,0.00%,0,0.00%,71216892,2.00%,9970373,0.28%,0,0.00%,211616,0.01%,86001988,2.42%
AA2,73723123,第一金全球AI人工智慧基金,8532311,0.20%,396515,0.01%,0,0.00%,81991092,1.91%,11594528,0.27%,0,0.00%,297821,0.01%,102812267,2.39%
AH22,75970725,第一金彭博美國10年期以上金融債券指數ETF基金,0,0.00%,0,0.00%,0,0.00%,1410084,0.20%,1057561,0.15%,0,0.00%,858883,0.12%,3326528,0.47%
AC21,76305220,第一金美國100大企業債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,51766678,0.98%,10559999,0.20%,0,0.00%,228375,0.00%,62555052,1.18%
AC21,76348683,第一金全球富裕國家債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,7880582,1.14%,1722747,0.25%,0,0.00%,169934,0.02%,9773263,1.42%
AA2,88101307,第一金全球Fitness健康瘦身基金,332668,0.08%,47862,0.01%,0,0.00%,7487247,1.80%,1123074,0.27%,0,0.00%,167057,0.04%,9157908,2.20%
AA2,88101313,第一金全球Pet毛小孩基金,153757,0.08%,2455,0.00%,0,0.00%,3441740,1.80%,516252,0.27%,0,0.00%,166052,0.09%,4280256,2.24%
AA2,88101334,第一金全球eSports電競基金,921347,0.08%,41151,0.00%,0,0.00%,20628689,1.78%,3130200,0.27%,0,0.00%,168113,0.01%,24889500,2.15%
AC21,88132717,第一金四至六年機動到期全球富裕國家投資級債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,4242615,0.50%,1018190,0.12%,0,0.00%,166358,0.02%,5427163,0.64%
AA1,88271077,第一金台灣核心戰略建設基金 (本基金配息來源可能為本金),2249243,0.42%,3827359,0.72%,0,0.00%,8504838,1.60%,797318,0.15%,0,0.00%,166790,0.03%,15545548,2.92%
AH21,88316551,第一金太空衛星ETF基金,460504,0.31%,13685,0.01%,574243,0.38%,1347220,0.90%,344285,0.23%,0,0.00%,1076142,0.72%,2667593,1.78%
AJ2,93153352,第一金全球永續影響力投資多重資產基金 (本基金有一定比重得投資於非投資等級之高風險債券),1697952,0.11%,1032197,0.07%,0,0.00%,26226013,1.77%,3856583,0.26%,0,0.00%,219307,0.01%,33032052,2.23%
AA2,508930,第一金量化日本基金,7768400,0.13%,0,0.00%,0,0.00%,30600309,0.51%,3948417,0.07%,0,0.00%,122150,0.00%,42439276,0.71%
AB1,971080,匯豐安富基金,1148185,0.12%,1958513,0.21%,0,0.00%,11164254,1.20%,1999890,0.21%,0,0.00%,206736,0.02%,16477578,1.77%
AA1,76941376,匯豐成功基金,482733,0.09%,844515,0.15%,0,0.00%,3869183,0.70%,773827,0.14%,0,0.00%,180359,0.03%,6150617,1.11%
AA1,1031298,匯豐龍鳳基金,4232056,0.14%,7333315,0.25%,0,0.00%,35206644,1.20%,3531321,0.12%,0,0.00%,180380,0.01%,50483716,1.72%
AA1,92017794,匯豐龍騰電子基金,4321893,0.26%,7228500,0.43%,0,0.00%,20218709,1.20%,2527347,0.15%,0,0.00%,180370,0.01%,34476819,2.05%
AA1,73987671,匯豐台灣精典基金,1504101,0.17%,2524733,0.28%,0,0.00%,13615388,1.50%,1180008,0.13%,0,0.00%,180360,0.02%,19004590,2.09%
AA2,48686374,匯豐金磚動力基金,2048945,0.22%,1007886,0.11%,0,0.00%,18914567,2.00%,3026338,0.32%,0,0.00%,744232,0.08%,25741968,2.72%
AA2,48784327,匯豐新鑽動力基金,875264,0.13%,797132,0.12%,0,0.00%,13217334,2.00%,2114774,0.32%,0,0.00%,455683,0.07%,17460187,2.64%
AE21,48865209,匯豐全球趨勢組合基金,20810,0.01%,868,0.00%,0,0.00%,4596923,1.20%,498004,0.13%,0,0.00%,200198,0.05%,5316803,1.39%
AA2,48925001,匯豐全球關鍵資源基金,1180679,0.13%,66402,0.01%,0,0.00%,16618952,1.80%,2492834,0.27%,0,0.00%,295270,0.03%,20654137,2.24%
AA2,25500903,匯豐中國動力基金,1323668,0.26%,724793,0.14%,0,0.00%,9192370,1.80%,1276730,0.25%,0,0.00%,600569,0.12%,13118130,2.57%
AC21,25695077,匯豐資源豐富國家收益基金 (本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,8712024,1.20%,1814990,0.25%,0,0.00%,252372,0.03%,10779386,1.48%
AC23,26286281,匯豐亞洲非投資等級債券基金 (本基金配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,4906535,1.50%,719629,0.22%,0,0.00%,200422,0.06%,5826586,1.78%
AA2,38482745,匯豐中國A股匯聚基金,12161168,0.46%,3310607,0.12%,0,0.00%,48049607,1.80%,6940497,0.26%,0,0.00%,800932,0.03%,71262811,2.67%
AE23,88183314,匯豐ESG永續多元資產組合基金 (本基金有相當比重投資於非投資等級之高風險債券基金且本基金配息來源可能為本金及收益平準金),190152,0.03%,3604,0.00%,0,0.00%,8168667,1.20%,953017,0.14%,0,0.00%,201078,0.03%,9516518,1.40%
AA2,88393254,匯豐全球基礎建設收益基金 (本基金配息來源可能為本金及收益平準金),1172897,0.15%,278722,0.03%,0,0.00%,14422251,1.80%,2083202,0.26%,0,0.00%,261427,0.03%,18218499,2.27%
