類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,1915628,0.72%,2950781,1.11%,3995184,1.50%,399516,0.15%,0,0.00%,150380,0.06%,9411489,3.53%
AA1,1050148,兆豐國際國民基金,1851790,0.57%,2837235,0.87%,4877379,1.50%,552765,0.17%,0,0.00%,255272,0.08%,10374441,3.19%
AA2,992769,兆豐國際全球基金,11318221,0.95%,1867203,0.16%,17882562,1.50%,3099640,0.26%,0,0.00%,175699,0.01%,34343325,2.88%
AB1,971976,兆豐國際萬全基金,1255962,0.56%,1921634,0.86%,2689514,1.20%,268952,0.12%,0,0.00%,159418,0.07%,6295480,2.81%
AA1,81584996,兆豐國際中小基金,996083,0.42%,1524983,0.65%,3520336,1.50%,305095,0.13%,0,0.00%,100350,0.04%,6446847,2.75%
AA1,73991751,兆豐國際電子基金,1788073,0.37%,2788649,0.58%,7174082,1.50%,765237,0.16%,0,0.00%,100340,0.02%,12616381,2.64%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,82142824,0.12%,30535698,0.04%,0,0.00%,1961316,0.00%,114639838,0.17%
AA2,14699772,兆豐國際生命科學基金,725827,0.29%,60917,0.02%,4309483,1.70%,659091,0.26%,0,0.00%,110462,0.04%,5865780,2.31%
AA1,10341837,兆豐國際豐台灣基金,963633,0.37%,1494002,0.58%,4139414,1.60%,388066,0.15%,0,0.00%,100250,0.04%,7085365,2.74%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,6452683,1.80%,932052,0.26%,0,0.00%,115420,0.03%,7500155,2.09%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,4441645,0.41%,1221459,0.11%,0,0.00%,146203,0.01%,5809307,0.53%
AA2,38592074,兆豐國際中國A股基金,16056085,0.13%,8443024,0.07%,253389414,2.00%,32940631,0.26%,0,0.00%,223271,0.00%,311052425,2.46%
AE24,42312011,兆豐國際目標策略ETF組合基金,276537,0.12%,3342,0.00%,2680633,1.20%,357414,0.16%,0,0.00%,115487,0.05%,3433413,1.54%
AB2,42334401,兆豐國際大中華平衡基金,555684,0.29%,369282,0.19%,3259744,1.70%,498550,0.26%,0,0.00%,131128,0.07%,4814388,2.51%
AD2,42406642,兆豐國際美元貨幣市場基金,0,0.00%,0,0.00%,2198620,0.30%,732871,0.10%,0,0.00%,147364,0.02%,3078855,0.42%
AH1,42482107,兆豐國際臺灣藍籌30ETF基金,342418,0.08%,451958,0.11%,1315827,0.32%,143920,0.04%,0,0.00%,655509,0.16%,2909632,0.71%
AH1,42482113,兆豐國際臺灣藍籌30單日反向一倍ETF基金,59500,0.06%,50046,0.05%,697148,0.65%,42908,0.04%,0,0.00%,455694,0.42%,1305296,1.22%
AC21,42541416,兆豐國際三年到期新興債券基金,0,0.00%,0,0.00%,0,0.00%,1172227,0.10%,0,0.00%,181646,0.02%,1353873,0.11%
AC21,72938272,兆豐國際三年到期新興亞洲債券基金,0,0.00%,0,0.00%,0,0.00%,1348310,0.10%,0,0.00%,203923,0.01%,1552233,0.11%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,20943194,0.07%,17699356,0.06%,0,0.00%,280122,0.00%,38922672,0.13%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,17436848,0.05%,13949436,0.04%,0,0.00%,404460,0.00%,31790744,0.09%
AA1,20092528,第一金店頭市場基金,2723644,0.73%,4580367,1.23%,5944264,1.60%,557288,0.15%,0,0.00%,185310,0.05%,13990873,3.77%
AA1,73989002,第一金小型精選基金,4169472,0.73%,7022151,1.22%,9177188,1.60%,860369,0.15%,0,0.00%,185290,0.03%,21414470,3.73%
AA1,19341318,第一金電子基金,5232625,0.65%,8751486,1.09%,12901248,1.60%,1209480,0.15%,0,0.00%,185355,0.02%,28280194,3.51%
AA2,17612378,第一金亞洲科技基金,847394,0.18%,614456,0.13%,8164847,1.75%,1213067,0.26%,0,0.00%,221613,0.05%,11061377,2.37%
AA1,15739619,第一金大中華基金,1573305,0.51%,2633616,0.85%,4960888,1.60%,465083,0.15%,0,0.00%,185330,0.06%,9818222,3.17%
AB1,99353151,第一金中概平衡基金,1088713,0.45%,1702461,0.71%,2894404,1.20%,289441,0.12%,0,0.00%,185750,0.08%,6160769,2.55%
AG,48892846,第一金全球不動產證券化基金,162906,0.10%,29891,0.02%,2916273,1.75%,383277,0.23%,0,0.00%,196446,0.12%,3688793,2.21%
AA2,10338642,第一金全球大趨勢基金,1560698,0.24%,347433,0.05%,11985393,1.85%,1554858,0.24%,0,0.00%,216303,0.03%,15664685,2.42%
AC23,25593418,第一金全球高收益債券基金,0,0.00%,0,0.00%,75484758,1.50%,8554937,0.17%,0,0.00%,309850,0.01%,84349545,1.68%
AA2,25620512,第一金中國世紀基金,10260348,0.38%,6400673,0.24%,48251633,1.80%,6701597,0.25%,0,0.00%,563093,0.02%,72177344,2.69%
AA2,25652648,第一金亞洲新興市場基金,853205,0.22%,445970,0.11%,7211616,1.85%,1013530,0.26%,0,0.00%,452325,0.12%,9976646,2.56%
AA1,26202396,第一金創新趨勢基金,6948846,0.52%,11155718,0.84%,21337793,1.60%,2133793,0.16%,0,0.00%,185590,0.01%,41761740,3.13%
AB2,38539992,第一金全球多重資產入息平衡基金,150604,0.08%,10495,0.01%,2795578,1.55%,450895,0.25%,0,0.00%,162517,0.09%,3570089,1.98%
