類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,1875483,0.49%,3048296,0.79%,5790044,1.50%,579008,0.15%,0,0.00%,158603,0.04%,11451434,2.97%
AA1,1050148,兆豐國際國民基金,1647877,0.48%,2538541,0.73%,5203739,1.50%,589757,0.17%,0,0.00%,280424,0.08%,10260338,2.96%
AA2,992769,兆豐國際全球基金,11010360,0.97%,1882974,0.17%,17067813,1.50%,2958422,0.26%,0,0.00%,3361927,0.30%,36281496,3.19%
AB1,971976,兆豐國際萬全基金,872766,0.35%,1379943,0.55%,2995000,1.20%,299504,0.12%,0,0.00%,199382,0.08%,5746595,2.30%
AA1,81584996,兆豐國際中小基金,1003294,0.36%,1657325,0.59%,4221412,1.50%,365845,0.13%,0,0.00%,108433,0.04%,7356309,2.61%
AA1,73991751,兆豐國際電子基金,1483791,0.26%,2498854,0.44%,8447732,1.50%,901090,0.16%,0,0.00%,117297,0.02%,13448764,2.39%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,102297538,0.14%,32144828,0.04%,0,0.00%,50578049,0.07%,185020415,0.25%
AA2,14699772,兆豐國際生命科學基金,907484,0.34%,47685,0.02%,4589130,1.70%,701864,0.26%,0,0.00%,724896,0.27%,6971059,2.58%
AA1,10341837,兆豐國際豐台灣基金,708851,0.21%,1318954,0.40%,5337466,1.60%,500390,0.15%,0,0.00%,112687,0.03%,7978348,2.39%
AA2,25637773,兆豐國際綠鑽基金,918806,0.86%,235706,0.22%,1916077,1.80%,276763,0.26%,0,0.00%,589882,0.55%,3937234,3.70%
AA2,26278352,兆豐國際全球高股息基金,711446,0.62%,252591,0.22%,2054025,1.80%,319517,0.28%,0,0.00%,774005,0.68%,4111584,3.60%
AA2,26299315,兆豐國際民生動力基金,955413,0.72%,220735,0.17%,2669654,2.00%,347053,0.26%,0,0.00%,352846,0.26%,4545701,3.41%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,9006060,1.80%,1300874,0.26%,0,0.00%,112460,0.02%,10419394,2.08%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,4921950,0.39%,1353534,0.11%,0,0.00%,2277497,0.18%,8552981,0.68%
AA2,38592074,兆豐國際中國A股基金,14993103,0.24%,7692926,0.12%,125566712,2.00%,16329150,0.26%,0,0.00%,10874009,0.17%,175455900,2.79%
AE24,42312011,兆豐國際目標策略ETF組合基金,1054485,0.25%,12241,0.00%,5013384,1.20%,668451,0.16%,0,0.00%,958689,0.23%,7707250,1.84%
AB2,42334401,兆豐國際大中華平衡基金,2532275,0.43%,1796252,0.31%,9958466,1.70%,1523063,0.26%,0,0.00%,1098766,0.19%,16908822,2.89%
AD2,42406642,兆豐國際美元貨幣市場基金,0,0.00%,0,0.00%,2598727,0.30%,866243,0.10%,0,0.00%,952338,0.11%,4417308,0.51%
AH1,42482107,兆豐國際臺灣藍籌30ETF基金,617218,0.14%,298380,0.07%,1116493,0.25%,122108,0.03%,0,0.00%,533266,0.12%,2687465,0.59%
AH1,42482113,兆豐國際臺灣藍籌30單日反向一倍ETF基金,56950,0.05%,46351,0.04%,609473,0.50%,37507,0.03%,0,0.00%,429816,0.35%,1180097,0.97%
AC21,42541416,兆豐國際三年到期新興債券基金,0,0.00%,0,0.00%,37165579,3.14%,334082,0.03%,0,0.00%,149326,0.01%,37648987,3.18%
AC21,72938272,兆豐國際三年到期新興亞洲債券基金,0,0.00%,0,0.00%,42297737,3.09%,18853,0.00%,0,0.00%,961,0.00%,42317551,3.10%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,27419199,0.07%,21578656,0.06%,0,0.00%,20433275,0.05%,69431130,0.18%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,16232407,0.05%,12985900,0.04%,0,0.00%,15351248,0.05%,44569555,0.14%
AA1,20092528,第一金店頭市場基金,1850138,0.43%,2964811,0.69%,6897579,1.60%,646643,0.15%,0,0.00%,186643,0.04%,12545814,2.91%
AA1,73989002,第一金小型精選基金,4800068,0.67%,7852815,1.09%,11516226,1.60%,1079654,0.15%,0,0.00%,187209,0.03%,25435972,3.53%
AA1,19341318,第一金電子基金,6237983,0.70%,9891293,1.11%,14251984,1.60%,1336128,0.15%,0,0.00%,188437,0.02%,31905825,3.58%
AA2,17612378,第一金亞洲科技基金,915632,0.18%,625967,0.12%,8767021,1.75%,1302530,0.26%,0,0.00%,210901,0.04%,11822051,2.36%
AA1,15739619,第一金大中華基金,2053274,0.55%,3422759,0.92%,5925759,1.60%,555541,0.15%,0,0.00%,185534,0.05%,12142867,3.28%
AB1,99353151,第一金中概平衡基金,853507,0.35%,1314345,0.53%,2952367,1.20%,295231,0.12%,0,0.00%,188387,0.08%,5603837,2.28%
AG,48892846,第一金全球不動產證券化基金,500524,0.23%,179943,0.08%,3748594,1.75%,492673,0.23%,0,0.00%,193161,0.09%,5114895,2.39%
AA2,10338642,第一金全球大趨勢基金,4152697,0.55%,641845,0.09%,13865295,1.85%,1798741,0.24%,0,0.00%,212067,0.03%,20670645,2.76%
AC23,25593418,第一金全球高收益債券基金,299226,0.00%,2692,0.00%,120740217,1.50%,13683889,0.17%,0,0.00%,343410,0.00%,135069434,1.68%
AA2,25620512,第一金中國世紀基金,12944987,0.32%,8176916,0.20%,72711532,1.80%,10098835,0.25%,0,0.00%,1068300,0.03%,105000570,2.60%
AA2,25652648,第一金亞洲新興市場基金,1504661,0.37%,655628,0.16%,7452197,1.85%,1047331,0.26%,0,0.00%,484856,0.12%,11144673,2.77%
AA1,26202396,第一金創新趨勢基金,6411832,0.58%,9953720,0.90%,17622885,1.60%,1762287,0.16%,0,0.00%,190570,0.02%,35941294,3.26%
AB2,38539992,第一金全球多重資產入息平衡基金,263711,0.07%,31634,0.01%,6045837,1.55%,975160,0.25%,0,0.00%,164559,0.04%,7480901,1.92%
