類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
2,965469,國際第一基金,2796809,2.11%,4226194,3.19%,1989446,1.50%,265263,0.20%,0,0.00%,274597,0.21%,9552309,7.22%
2,1050148,國際國民基金,5710822,1.07%,8810466,1.65%,7994230,1.50%,1065894,0.20%,0,0.00%,481126,0.09%,24062538,4.52%
4,992769,國際全球基金,27522650,1.06%,4096012,0.16%,38070080,1.47%,6634680,0.26%,0,0.00%,6935733,0.27%,83259155,3.21%
5,971976,國際萬全基金,2894927,0.25%,4236172,0.37%,13715094,1.20%,2000119,0.18%,0,0.00%,1363244,0.12%,24209556,2.12%
6,1013101,國際萬寶基金,0,0.00%,0,0.00%,106426362,0.35%,30407535,0.10%,0,0.00%,18180294,0.06%,155014191,0.51%
2,92003790,國際精選二十基金,4826509,0.91%,7631416,1.44%,7961579,1.50%,743076,0.14%,0,0.00%,303788,0.06%,21466368,4.04%
6,92023183,國際萬能基金,0,0.00%,0,0.00%,78386401,0.32%,24217724,0.10%,0,0.00%,23851456,0.10%,126455581,0.52%
6,97991702,國際萬華基金,0,0.00%,0,0.00%,92280830,0.30%,16180137,0.05%,0,0.00%,24979515,0.08%,133440482,0.43%
2,81584996,國際中小基金,4144618,0.74%,6438108,1.14%,8452414,1.50%,732541,0.13%,0,0.00%,121526,0.02%,19889207,3.53%
2,73991751,國際電子基金,7361581,0.35%,12691115,0.60%,31571253,1.50%,3367604,0.16%,0,0.00%,350822,0.02%,55342375,2.63%
2,17606299,國際金龍基金,3439729,0.61%,5284034,0.94%,8995543,1.60%,843328,0.15%,0,0.00%,118421,0.02%,18681055,3.33%
4,14699772,國際生命科學基金,3450010,1.56%,712598,0.32%,3758448,1.70%,574827,0.26%,0,0.00%,181561,0.08%,8677444,3.93%
5,29208036,國際安盈基金,767087,0.13%,1778557,0.31%,6852122,1.20%,685208,0.12%,0,0.00%,211356,0.04%,10294330,1.80%
2,988316,荷銀光華基金,1790815,0.37%,2188171,0.45%,7358655,1.50%,981160,0.20%,0,0.00%,113855,0.02%,12432656,2.54%
2,968493,荷銀鴻運基金,1946213,0.44%,2500973,0.56%,6701797,1.50%,893573,0.20%,0,0.00%,1677203,0.38%,13719759,3.07%
4,1021518,荷銀環球基金,1710414,0.20%,60326,0.01%,13045654,1.50%,2300265,0.26%,0,0.00%,3497753,0.40%,20614412,2.37%
5,971103,荷銀鴻利基金,2974005,0.33%,3485002,0.38%,10933001,1.20%,1594385,0.18%,0,0.00%,163693,0.02%,19150086,2.10%
6,1013051,荷銀鴻揚基金,0,0.00%,0,0.00%,50848674,0.26%,15791518,0.08%,0,0.00%,122052,0.00%,66762244,0.34%
2,1031564,荷銀積極成長基金,2782252,0.42%,3182779,0.48%,9925166,1.50%,992516,0.15%,0,0.00%,130940,0.02%,17013653,2.57%
4,92017008,荷銀新馬基金,905628,0.13%,284185,0.04%,10845430,1.50%,1735269,0.24%,0,0.00%,6410023,0.89%,20180535,2.80%
6,92024520,荷銀債券基金,0,0.00%,0,0.00%,124819522,0.25%,39462201,0.08%,0,0.00%,38416,0.00%,164320139,0.33%
4,97982106,荷銀日本基金,4374154,0.21%,0,0.00%,33170559,1.60%,4975584,0.24%,0,0.00%,1866462,0.09%,44386759,2.15%
4,20089404,荷銀泰國基金,7126151,0.51%,436406,0.03%,22575470,1.60%,3386325,0.24%,0,0.00%,4261684,0.30%,37786036,2.69%
2,17600534,荷銀高科技基金,8945737,0.43%,10890066,0.53%,33081298,1.60%,3101374,0.15%,0,0.00%,1280,0.00%,56019755,2.71%
5,18036521,荷銀安利基金,1613645,0.27%,2142680,0.36%,7119194,1.20%,711923,0.12%,0,0.00%,2299,0.00%,11589741,1.96%
6,18479285,荷銀精選債券基金,0,0.00%,0,0.00%,81482585,0.35%,18624593,0.08%,0,0.00%,7100,0.00%,100114278,0.43%
6,18493569,荷銀台灣債券基金,0,0.00%,0,0.00%,4668953,0.35%,1067193,0.08%,0,0.00%,3080,0.00%,5739226,0.43%
6,14303808,荷銀安信基金,0,0.00%,0,0.00%,4951728,0.57%,698946,0.08%,0,0.00%,38453,0.00%,5689127,0.65%
4,14703136,荷銀全球首選基金,4432575,0.46%,250973,0.03%,16732311,1.75%,2581563,0.27%,0,0.00%,2828230,0.30%,26825652,2.81%
5,99035620,荷銀全球安穩平衡基金,874083,0.07%,33274,0.00%,17282670,1.30%,3456536,0.26%,0,0.00%,1139069,0.09%,22785632,1.72%
5,29203026,荷銀盛利基金,1286320,0.10%,1963088,0.16%,15083802,1.20%,1508387,0.12%,0,0.00%,46032,0.00%,19887629,1.59%
2,99973878,荷銀高股息基金,6360969,0.29%,5131703,0.23%,27493484,1.26%,2577509,0.12%,0,0.00%,2344,0.00%,41566009,1.90%
2,968521,建弘福元基金,3689280,0.45%,4764826,0.58%,12245583,1.50%,1632593,0.20%,0,0.00%,172385,0.02%,22504667,2.76%
4,969710,建弘泛太基金,5413260,0.91%,0,0.00%,8906084,1.50%,1424811,0.24%,0,0.00%,694803,0.12%,16438958,2.77%
2,971096,建弘雙福基金,7470324,0.71%,10840710,1.02%,12687459,1.20%,2000000,0.19%,0,0.00%,208169,0.02%,33206662,3.14%
5,1013088,建弘廣福基金,128691,0.03%,269560,0.06%,2972680,0.70%,594395,0.14%,0,0.00%,640342,0.15%,4605668,1.08%
6,1032249,建弘全家福基金,0,0.00%,0,0.00%,145214676,0.20%,56885832,0.08%,0,0.00%,74300139,0.10%,276400647,0.39%
2,1032803,建弘萬得福基金,4702513,0.92%,5918822,1.16%,7667500,1.50%,766589,0.15%,0,0.00%,526942,0.10%,19582366,3.83%
4,92010461,建弘馬來西亞基金,4938027,0.47%,1091840,0.10%,18503568,1.75%,2748913,0.26%,0,0.00%,9348057,0.88%,36630405,3.46%
2,97980043,建弘福王基金,11911887,1.13%,15113106,1.44%,16827784,1.60%,1577443,0.15%,0,0.00%,11820,0.00%,45442040,4.32%
6,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,103786453,0.30%,27676254,0.08%,0,0.00%,40746999,0.12%,172209706,0.50%
2,20092528,建弘店頭市場基金,7784792,0.85%,10245357,1.12%,14619748,1.60%,1370419,0.15%,0,0.00%,16792,0.00%,34037108,3.72%
4,81593453,建弘全球台商基金,2825707,0.62%,2711036,0.60%,7235290,1.59%,1085142,0.24%,0,0.00%,117611,0.03%,13974786,3.07%
2,73989002,建弘小型精選基金,10488255,0.91%,13665198,1.18%,18502375,1.60%,1734429,0.15%,0,0.00%,21625,0.00%,44411882,3.84%
2,19341318,建弘電子基金,15836236,0.74%,22874855,1.06%,34454769,1.60%,3229956,0.15%,0,0.00%,39025,0.00%,76434841,3.55%
2,17154324,建弘價值基金,9052049,1.10%,12275794,1.49%,13186824,1.60%,1236095,0.15%,0,0.00%,13712,0.00%,35764474,4.34%
4,17612378,建弘亞洲科技基金,7935782,0.87%,1956543,0.21%,15936486,1.75%,2367562,0.26%,0,0.00%,1894518,0.21%,30090891,3.30%
4,14692567,建弘美國科技基金,1581204,0.59%,22284,0.01%,4619694,1.73%,633387,0.24%,0,0.00%,619392,0.23%,7475961,2.81%
2,15739619,建弘大中華基金,5558485,1.39%,7634421,1.91%,6390179,1.60%,598935,0.15%,0,0.00%,8554,0.00%,20190574,5.06%
