類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
3,21100568,國際台灣基金,7961242,0.15%,12052648,0.23%,70705283,1.35%,7856142,0.15%,50907136,0.98%,149482451,2.86%
2,965469,國際第一基金,358362,0.73%,535866,1.10%,751323,1.54%,100173,0.21%,269621,0.55%,2015345,4.13%
2,1050148,國際國民基金,7031437,1.52%,10431211,2.26%,6940771,1.50%,1000000,0.22%,478450,0.10%,25881869,5.60%
4,992769,國際全球基金,26235619,1.05%,2437255,0.10%,36450580,1.46%,6346772,0.25%,6964273,0.28%,78434499,3.13%
5,971976,國際萬全基金,4485086,0.51%,7246192,0.82%,10684513,1.21%,2000000,0.23%,513502,0.06%,24929293,2.82%
6,1013101,國際萬寶基金,0,0.00%,0,0.00%,150990188,0.35%,43140054,0.10%,57220232,0.13%,251350474,0.58%
2,92003790,國際精選二十基金,5465743,0.69%,8613909,1.08%,12054462,1.52%,1125081,0.14%,375360,0.05%,27634555,3.48%
6,92023183,國際萬能基金,0,0.00%,0,0.00%,131549626,0.35%,37585609,0.10%,70230623,0.18%,239365858,0.63%
3,97979257,國際台灣祥龍基金,351798,0.85%,565904,1.37%,623909,1.51%,62388,0.15%,919674,2.23%,2523673,6.12%
6,97991702,國際萬華基金,0,0.00%,0,0.00%,121153802,0.30%,20992301,0.05%,75831761,0.19%,217977864,0.55%
7,20095341,國際萬通基金,0,0.00%,0,0.00%,13712060,1.00%,1508328,0.11%,297275,0.02%,15517663,1.13%
2,81584996,國際中小基金,6915921,1.02%,10440561,1.54%,10273882,1.51%,890399,0.13%,150666,0.02%,28671429,4.22%
2,73991751,國際電子基金,5895554,0.30%,8274087,0.42%,29509364,1.49%,3147665,0.16%,314079,0.02%,47140749,2.38%
2,17606299,國際金龍基金,6058011,0.91%,9441484,1.42%,10851542,1.63%,1017340,0.15%,120984,0.02%,27489361,4.13%
4,14699772,國際生命科學基金,4784718,1.90%,98582,0.04%,4409227,1.75%,674352,0.27%,234187,0.09%,10201066,4.06%
10,99042657,國際保本一號基金,0,0.00%,0,0.00%,17943413,0.72%,215630,0.01%,425375,0.02%,18584418,0.74%
3,986268,荷銀福爾摩莎基金,1628333,0.69%,2123485,0.90%,3820007,1.61%,382001,0.16%,2206238,0.93%,10160064,4.29%
