類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐第一基金,1488185,0.72%,2352128,1.13%,0,0.00%,3121170,1.50%,312177,0.15%,0,0.00%,150232,0.07%,7423892,3.57%
AA1,1050148,兆豐國民基金,4240223,1.02%,6417159,1.55%,0,0.00%,6226782,1.50%,705691,0.17%,0,0.00%,253365,0.06%,17843220,4.30%
AA2,992769,兆豐全球基金,2936227,0.29%,327267,0.03%,0,0.00%,14936021,1.50%,2588907,0.26%,0,0.00%,165066,0.02%,20953488,2.10%
AB1,971976,兆豐萬全基金,1536303,0.47%,2286398,0.71%,0,0.00%,3889287,1.20%,388927,0.12%,0,0.00%,159250,0.05%,8260165,2.55%
AA1,73991751,兆豐電子基金,3896152,0.64%,5858940,0.97%,0,0.00%,9091408,1.50%,969754,0.16%,0,0.00%,100310,0.02%,19916564,3.29%
AD1,18044796,兆豐寶鑽貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,71388317,0.12%,27847079,0.05%,0,0.00%,3301346,0.01%,102536742,0.17%
AA2,14699772,兆豐生命科學基金,143424,0.07%,11401,0.01%,0,0.00%,3747466,1.70%,573137,0.26%,0,0.00%,111419,0.05%,4586847,2.08%
AA1,10341837,兆豐豐台灣基金,2785137,0.63%,4220118,0.95%,0,0.00%,7082732,1.60%,664001,0.15%,0,0.00%,100290,0.02%,14852278,3.36%
AD2,38522710,兆豐人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,2139612,0.40%,588389,0.11%,0,0.00%,118617,0.02%,2846618,0.53%
AA2,38592074,兆豐中國A股基金,8383431,0.18%,4653052,0.10%,0,0.00%,95403054,2.00%,12402397,0.26%,0,0.00%,346846,0.01%,121188780,2.54%
AD2,42406642,兆豐美元貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,362863,0.15%,169341,0.07%,0,0.00%,124092,0.05%,656296,0.27%
AH11,42482107,兆豐臺灣藍籌30ETF基金,872901,0.22%,917653,0.23%,1316469,0.33%,1270224,0.32%,138932,0.04%,0,0.00%,632152,0.16%,2515393,0.63%
AA2,76303709,兆豐中國內需A股基金,3585302,0.23%,2252889,0.14%,0,0.00%,31646987,2.00%,4114108,0.26%,0,0.00%,347451,0.02%,41946737,2.65%
AC21,76858664,兆豐六年到期新興市場債券基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,6850079,0.60%,1370008,0.12%,0,0.00%,112428,0.01%,8332515,0.73%
AA1,88090408,兆豐台灣先進通訊基金,3639515,0.65%,5380717,0.95%,0,0.00%,9020936,1.60%,845712,0.15%,0,0.00%,100330,0.02%,18987210,3.37%
AC23,88119427,兆豐新興市場短期非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,17976962,1.70%,2749419,0.26%,0,0.00%,114242,0.01%,20840623,1.97%
AA1,88198077,兆豐台灣金傳精選股息基金,6917748,0.41%,11994575,0.71%,0,0.00%,26943470,1.60%,2526734,0.15%,0,0.00%,100272,0.01%,48482799,2.88%
AA2,88277760,兆豐全球元宇宙科技基金,11974916,0.62%,409940,0.02%,0,0.00%,27039338,1.41%,3806984,0.20%,0,0.00%,136690,0.01%,43367868,2.25%
AH21,88317812,兆豐洲際半導體ETF基金,669471,0.38%,4943,0.00%,352680,0.20%,817826,0.46%,192430,0.11%,0,0.00%,607216,0.34%,1939206,1.09%
AH11,88321560,兆豐特選台灣晶圓製造ETF基金,411136,0.22%,416893,0.22%,128748,0.07%,356731,0.19%,31704,0.02%,0,0.00%,395934,0.21%,1483650,0.78%
AG,88342220,兆豐新加坡交易所房地產收益基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),955955,0.05%,224580,0.01%,0,0.00%,5087062,0.27%,734802,0.04%,0,0.00%,87603,0.00%,7090002,0.37%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,14785791,0.07%,12673530,0.06%,0,0.00%,757398,0.00%,28216719,0.13%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,20234876,0.05%,16187899,0.04%,0,0.00%,1775706,0.00%,38198481,0.09%
AA1,20092528,第一金店頭市場基金,1705602,0.56%,2864944,0.94%,0,0.00%,4886518,1.60%,458105,0.15%,0,0.00%,180578,0.06%,10095747,3.31%
AA1,73989002,第一金小型精選基金,3216711,0.59%,5410566,1.00%,0,0.00%,8683291,1.60%,814068,0.15%,0,0.00%,180580,0.03%,18305216,3.37%
AA1,19341318,第一金電子基金,2739024,0.24%,4338649,0.38%,0,0.00%,18165770,1.60%,1703046,0.15%,0,0.00%,180440,0.02%,27126929,2.39%
AA2,17612378,第一金亞洲科技基金,162557,0.04%,141374,0.03%,0,0.00%,7779745,1.75%,1155857,0.26%,0,0.00%,202217,0.05%,9441750,2.12%
AB1,99353151,第一金中概平衡基金,1442215,0.53%,2403123,0.89%,0,0.00%,3248456,1.20%,324833,0.12%,0,0.00%,180600,0.07%,7599227,2.81%
AG,48892846,第一金全球不動產證券化基金 (本基金之配息來源可能為本金),109998,0.09%,28645,0.02%,0,0.00%,2234582,1.75%,293710,0.23%,0,0.00%,181505,0.14%,2848440,2.23%
AA2,10338642,第一金全球大趨勢基金,201805,0.05%,993,0.00%,0,0.00%,6940445,1.85%,900383,0.24%,0,0.00%,200010,0.05%,8243636,2.20%
AC23,25593418,第一金全球非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,21178003,1.50%,2400091,0.17%,0,0.00%,203100,0.01%,23781194,1.68%
