類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐第一基金,816538,0.59%,1240820,0.90%,0,0.00%,1896941,1.37%,189700,0.14%,0,0.00%,150944,0.11%,4294943,3.11%
AA1,1050148,兆豐國民基金 ((基金之配息來源可能為收益平準金)),3087411,0.60%,4604371,0.89%,0,0.00%,7092100,1.37%,804127,0.16%,0,0.00%,193199,0.04%,15781208,3.05%
AA2,992769,兆豐全球基金,5046778,0.41%,275207,0.02%,0,0.00%,16940810,1.37%,2936409,0.24%,0,0.00%,168921,0.01%,25368125,2.06%
AB1,971976,兆豐萬全基金,2190777,0.62%,3291511,0.93%,0,0.00%,3867491,1.10%,387147,0.11%,0,0.00%,168544,0.05%,9905470,2.81%
AA1,73991751,兆豐電子基金,2478468,0.29%,3798806,0.44%,0,0.00%,11869849,1.37%,1266122,0.15%,0,0.00%,100844,0.01%,19514089,2.26%
AD1,18044796,兆豐寶鑽貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,73525218,0.11%,27531989,0.04%,0,0.00%,1688277,0.00%,102745484,0.15%
AA2,14699772,兆豐生命科學基金,349281,0.17%,2421,0.00%,0,0.00%,3237466,1.56%,495149,0.24%,0,0.00%,121098,0.06%,4205415,2.02%
AA1,10341837,兆豐豐台灣基金,2672147,0.47%,4126263,0.72%,0,0.00%,8404932,1.46%,787958,0.14%,0,0.00%,100874,0.02%,16092174,2.80%
AD2,38522710,兆豐人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,1524618,0.36%,419277,0.10%,0,0.00%,132143,0.03%,2076038,0.48%
AA2,38592074,兆豐中國A股基金,4895964,0.11%,1850411,0.04%,0,0.00%,79394221,1.83%,10321253,0.24%,0,0.00%,392376,0.01%,96854225,2.23%
AD2,42406642,兆豐美元貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,640890,0.14%,299080,0.06%,0,0.00%,129314,0.03%,1069284,0.23%
AH11,42482107,兆豐臺灣藍籌30ETF基金,2164671,0.07%,3510082,0.12%,4163459,0.14%,8659121,0.29%,947092,0.03%,0,0.00%,1462788,0.05%,12580295,0.43%
AA2,76303709,兆豐中國內需A股基金,8405768,0.83%,3445001,0.34%,0,0.00%,18474637,1.83%,2401701,0.24%,0,0.00%,356031,0.04%,33083138,3.28%
AC21,76858664,兆豐六年到期新興市場債券基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,5555200,0.55%,1111046,0.11%,0,0.00%,112597,0.01%,6778843,0.67%
AA1,88090408,兆豐台灣先進通訊基金,1287469,0.29%,2114705,0.47%,0,0.00%,6530060,1.46%,612198,0.14%,0,0.00%,110206,0.02%,10654638,2.39%
AC23,88119427,兆豐新興市場短期非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,8788854,1.56%,1344177,0.24%,0,0.00%,114562,0.02%,10247593,1.81%
AA1,88198077,兆豐台灣金傳精選股息基金,1139321,0.44%,1808152,0.70%,0,0.00%,3799313,1.46%,356186,0.14%,0,0.00%,110226,0.04%,7213198,2.78%
AA2,88277760,兆豐全球元宇宙科技基金,531561,0.13%,240979,0.06%,0,0.00%,7622710,1.83%,1067179,0.26%,0,0.00%,113262,0.03%,9575691,2.30%
AH21,88317812,兆豐洲際半導體ETF基金,746893,0.11%,3991,0.00%,405964,0.06%,5254349,0.78%,1236328,0.18%,0,0.00%,956072,0.14%,7791669,1.15%
AH11,88321560,兆豐特選台灣晶圓製造ETF基金,250547,0.10%,454614,0.19%,279501,0.12%,997685,0.41%,88691,0.04%,0,0.00%,618147,0.26%,2130183,0.88%
AG,88342220,兆豐新加坡交易所房地產收益基金 (本基金之配息來源可能為本金),143551,0.06%,40846,0.02%,0,0.00%,4013603,1.65%,579746,0.24%,0,0.00%,147654,0.06%,4925400,2.02%
AH11,88351249,兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),2218488,0.10%,4916309,0.22%,4312982,0.19%,8965867,0.39%,821345,0.04%,0,0.00%,1474380,0.06%,14083407,0.62%
AJ2,88394063,兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),1619019,0.40%,2970,0.00%,0,0.00%,6682592,1.65%,965250,0.24%,0,0.00%,148993,0.04%,9418824,2.32%
AH11,93111473,兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),12795152,0.26%,23629417,0.48%,12482096,0.26%,19537741,0.40%,1766680,0.04%,0,0.00%,2315780,0.05%,47562674,0.98%
AE22,93150643,兆豐全球債券ETF策略收益組合基金 (本基金之配息來源可能為本金),281991,0.05%,2460,0.00%,0,0.00%,4629135,0.87%,682188,0.13%,0,0.00%,110457,0.02%,5706231,1.07%
AJ2,93106751,兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),4338090,0.16%,1172748,0.04%,0,0.00%,45076185,1.65%,6010163,0.22%,0,0.00%,118068,0.00%,56715254,2.07%
AH11,93211796,兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),2590563,0.21%,6452286,0.52%,7024628,0.57%,5105436,0.41%,453814,0.04%,0,0.00%,1148903,0.09%,8726374,0.70%
AH22,512527,兆豐美國企業優選投資級公司債ETF基金 (基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,7715670,0.27%,2571886,0.09%,0,0.00%,1739039,0.06%,12026595,0.43%
AJ2,526748,兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),6958455,0.26%,5359744,0.20%,0,0.00%,41062353,1.55%,6292499,0.24%,0,0.00%,121264,0.00%,59794315,2.26%
AJ2,586132,兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),10380686,0.58%,558318,0.03%,0,0.00%,15931671,0.89%,2301242,0.13%,0,0.00%,103255,0.01%,29275172,1.64%
AE23,645809,兆豐雙動能組合基金 (本基金有相當比重投資於非投資等級之高風險債券基金),1602521,0.03%,0,0.00%,0,0.00%,3591595,0.08%,502824,0.01%,0,0.00%,49844,0.00%,5746784,0.12%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,15489141,0.06%,13276394,0.05%,0,0.00%,791915,0.00%,29557450,0.12%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,30020520,0.05%,24016425,0.04%,0,0.00%,2697385,0.00%,56734330,0.09%
AA1,20092528,第一金店頭市場基金,2111636,0.57%,3523295,0.95%,0,0.00%,5418771,1.46%,508010,0.14%,0,0.00%,174564,0.05%,11736276,3.17%
AA1,73989002,第一金小型精選基金,3888733,0.49%,6682550,0.85%,0,0.00%,11527711,1.46%,1080718,0.14%,0,0.00%,174339,0.02%,23354051,2.97%
AA1,19341318,第一金電子基金,6559952,0.34%,11202236,0.57%,0,0.00%,28582824,1.46%,2679646,0.14%,0,0.00%,174879,0.01%,49199537,2.52%
AA2,17612378,第一金亞洲科技基金,320950,0.06%,255909,0.04%,0,0.00%,9116865,1.60%,1354502,0.24%,0,0.00%,194300,0.03%,11242526,1.97%
AB1,99353151,第一金中概平衡基金,2149096,0.55%,3634181,0.93%,0,0.00%,4306627,1.10%,430673,0.11%,0,0.00%,174429,0.04%,10695006,2.73%
AG,48892846,第一金全球不動產證券化基金 (本基金之配息來源可能為本金或收益平準金),164713,0.14%,41330,0.04%,0,0.00%,1854158,1.60%,243698,0.21%,0,0.00%,176083,0.15%,2479982,2.14%
AA2,10338642,第一金全球大趨勢基金,1527174,0.10%,243718,0.02%,0,0.00%,21110101,1.33%,3487556,0.22%,0,0.00%,196016,0.01%,26564565,1.67%
AC23,25593418,第一金全球非投資等級債券基金 (本基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,28085061,1.37%,3198644,0.16%,0,0.00%,245357,0.01%,31529062,1.53%
AA2,25620512,第一金中國世紀基金,1094507,0.08%,642864,0.05%,0,0.00%,21328410,1.65%,2962133,0.23%,0,0.00%,287157,0.02%,26315071,2.03%
AA2,25652648,第一金亞洲新興市場基金,46466,0.02%,18250,0.01%,0,0.00%,5208707,1.69%,732023,0.24%,0,0.00%,366309,0.12%,6371755,2.07%
AA1,26202396,第一金創新趨勢基金,6031225,0.31%,9621140,0.49%,0,0.00%,28856417,1.46%,2885694,0.15%,0,0.00%,175069,0.01%,47569545,2.41%
AA2,42399017,第一金全球AI機器人及自動化產業基金,5804128,0.17%,701845,0.02%,0,0.00%,63800456,1.83%,8294000,0.24%,0,0.00%,156091,0.00%,78756520,2.26%
AA2,42455621,第一金全球AI FinTech金融科技基金,541989,0.05%,17797,0.00%,0,0.00%,17438931,1.77%,2345806,0.24%,0,0.00%,194866,0.02%,20539389,2.08%
AA2,42539761,第一金全球水電瓦斯及基礎建設收益基金 (本基金之配息來源可能為本金),16301384,0.19%,5444792,0.06%,0,0.00%,134943776,1.60%,20015579,0.24%,0,0.00%,287036,0.00%,176992567,2.10%
AH11,72949242,第一金臺灣工業菁英30 ETF基金 (本基金配息來源可能為收益平準金),951098,0.06%,1849170,0.12%,1567708,0.10%,5666495,0.37%,495838,0.03%,0,0.00%,1149008,0.07%,8543901,0.55%
AA2,72960196,第一金全球AI精準醫療基金,5390359,0.20%,336915,0.01%,0,0.00%,50345977,1.83%,7066171,0.26%,0,0.00%,210809,0.01%,63350231,2.30%
AA2,73723123,第一金全球AI人工智慧基金,6489471,0.15%,308669,0.01%,0,0.00%,77855699,1.75%,10961379,0.25%,0,0.00%,232231,0.01%,95847449,2.16%
AH22,75970725,第一金彭博美國10年期以上金融債券指數ETF基金,0,0.00%,0,0.00%,0,0.00%,1323858,0.18%,992870,0.14%,0,0.00%,754417,0.10%,3071145,0.42%
AC21,76305220,第一金美國100大企業債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,53315519,0.86%,11342197,0.18%,0,0.00%,209601,0.00%,64867317,1.05%
AC21,76348683,第一金全球富裕國家債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,5860547,1.03%,1296505,0.23%,0,0.00%,155003,0.03%,7312055,1.29%
AA2,88101307,第一金全球Fitness健康瘦身基金,204857,0.08%,21350,0.01%,0,0.00%,4295009,1.65%,644267,0.25%,0,0.00%,152034,0.06%,5317517,2.04%
AA2,88101313,第一金全球Pet毛小孩基金,127259,0.10%,13318,0.01%,0,0.00%,1999516,1.65%,299944,0.25%,0,0.00%,151970,0.13%,2592007,2.14%
AA2,88101334,第一金全球eSports電競基金,855458,0.08%,44073,0.00%,0,0.00%,16715665,1.64%,2512752,0.25%,0,0.00%,153486,0.02%,20281434,1.99%
