類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,2258622,0.87%,3583501,1.39%,3875696,1.50%,387570,0.15%,0,0.00%,150360,0.06%,10255749,3.97%
AA1,1050148,兆豐國際國民基金,3293697,0.71%,4990012,1.07%,6977771,1.50%,790813,0.17%,0,0.00%,254366,0.05%,16306659,3.51%
AA2,992769,兆豐國際全球基金,5825254,0.50%,577713,0.05%,17511774,1.50%,3035379,0.26%,0,0.00%,168508,0.01%,27118628,2.32%
AB1,971976,兆豐國際萬全基金,1213993,0.41%,1920022,0.65%,3543685,1.20%,354359,0.12%,0,0.00%,159296,0.05%,7191355,2.44%
AA1,73991751,兆豐國際電子基金,3188238,0.54%,4942920,0.83%,8921332,1.50%,951613,0.16%,0,0.00%,100347,0.02%,18104450,3.04%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,88224450,0.12%,32056112,0.04%,0,0.00%,3164426,0.00%,123444988,0.17%
AA2,14699772,兆豐國際生命科學基金,217607,0.09%,14423,0.01%,4333700,1.70%,662802,0.26%,0,0.00%,110670,0.04%,5339202,2.09%
AA1,10341837,兆豐國際豐台灣基金,5305377,1.11%,8125403,1.70%,7668227,1.60%,718900,0.15%,0,0.00%,100360,0.02%,21918267,4.57%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,2306592,0.40%,634309,0.11%,0,0.00%,121735,0.02%,3062636,0.53%
AA2,38592074,兆豐國際中國A股基金,10732323,0.20%,6293901,0.12%,106396282,2.00%,13831516,0.26%,0,0.00%,339049,0.01%,137593071,2.59%
AD2,42406642,兆豐國際美元貨幣市場基金,0,0.00%,0,0.00%,342222,0.15%,159694,0.07%,0,0.00%,118137,0.05%,620053,0.27%
AH11,42482107,兆豐國際臺灣藍籌30ETF基金,137699,0.04%,318830,0.08%,1232110,0.32%,134757,0.04%,0,0.00%,630153,0.16%,2453549,0.64%
AI2,75966911,兆豐國際丹麥資產擔保債券指數基金 (基金之配息來源可能為本金),0,0.00%,0,0.00%,3939365,1.50%,682822,0.26%,0,0.00%,1268740,0.48%,5890927,2.24%
AA2,76303709,兆豐國際中國內需A股基金,5188950,0.29%,2930912,0.16%,36340112,2.00%,4724210,0.26%,0,0.00%,366680,0.02%,49550864,2.73%
AC21,76858664,兆豐國際六年到期新興市場債券基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),0,0.00%,0,0.00%,13558535,1.07%,1517335,0.12%,0,0.00%,115081,0.01%,15190951,1.20%
AA1,88090408,兆豐國際台灣先進通訊基金,9038640,1.31%,14925082,2.16%,11071530,1.60%,1037954,0.15%,0,0.00%,100360,0.01%,36173566,5.23%
AC23,88119427,兆豐國際新興市場短期高收益債券基金 (本基金主要投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,37676231,1.61%,5762244,0.25%,0,0.00%,121237,0.01%,43559712,1.86%
AA1,88198077,兆豐台灣金傳精選股息基金,3810414,0.10%,2032216,0.05%,16140520,0.41%,1513963,0.04%,0,0.00%,50000,0.00%,23547113,0.59%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,21668611,0.07%,18192822,0.06%,0,0.00%,558804,0.00%,40420237,0.13%
