類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
2,965469,國際第一基金,987932,1.21%,1543580,1.89%,1222496,1.50%,162995,0.20%,0,0.00%,167681,0.21%,4084684,5.01%
2,1050148,國際國民基金,7286329,1.22%,10943099,1.83%,8968972,1.50%,1195852,0.20%,0,0.00%,461233,0.08%,28855485,4.83%
4,992769,國際全球基金,33172203,1.30%,1778866,0.07%,37377767,1.47%,6511604,0.26%,0,0.00%,5023032,0.20%,83863472,3.29%
5,971976,國際萬全基金,3301287,0.37%,5248782,0.60%,10575043,1.20%,2000000,0.23%,0,0.00%,487802,0.06%,21612914,2.45%
15,1013101,國際萬寶基金,0,0.00%,0,0.00%,43086311,0.35%,11052788,0.09%,0,0.00%,7015524,0.06%,61154623,0.50%
2,92003790,國際精選二十基金,3805663,0.90%,5956337,1.41%,6352829,1.50%,592931,0.14%,0,0.00%,310262,0.07%,17018022,4.02%
15,92023183,國際萬能基金,0,0.00%,0,0.00%,24876588,0.35%,7107602,0.10%,0,0.00%,531484,0.01%,32515674,0.46%
2,81584996,國際中小基金,5404540,1.02%,8372819,1.57%,7970512,1.50%,690776,0.13%,0,0.00%,104822,0.02%,22543469,4.24%
2,73991751,國際電子基金,11632807,0.91%,18729870,1.46%,19178257,1.50%,2045685,0.16%,0,0.00%,215594,0.02%,51802213,4.05%
2,17606299,國際金龍基金,4460700,0.97%,7109724,1.55%,7301664,1.60%,684540,0.15%,0,0.00%,90578,0.02%,19647206,4.29%
4,14699772,國際生命科學基金,8377044,1.27%,2370202,0.36%,11167512,1.70%,1707972,0.26%,0,0.00%,241140,0.04%,23863870,3.63%
5,29208036,國際安盈基金,1347453,0.51%,2000713,0.75%,3203143,1.20%,320322,0.12%,0,0.00%,81217,0.03%,6952848,2.61%
2,968521,建弘福元基金,6929711,0.81%,7719701,0.90%,12800552,1.50%,1706577,0.20%,0,0.00%,544233,0.06%,29700774,3.48%
4,969710,建弘泛太基金,5017035,0.79%,0,0.00%,9532933,1.50%,1525112,0.24%,0,0.00%,674267,0.11%,16749347,2.63%
2,971096,建弘雙福基金,8441232,1.04%,9617338,1.18%,9743884,1.20%,2000000,0.25%,0,0.00%,283715,0.03%,30086169,3.70%
15,1032249,建弘全家福基金,0,0.00%,0,0.00%,159103103,0.20%,62441197,0.08%,0,0.00%,70365007,0.09%,291909307,0.37%
2,1032803,建弘萬得福基金,5946585,1.49%,6675904,1.67%,6000617,1.50%,599905,0.15%,0,0.00%,272543,0.07%,19495554,4.87%
4,92010461,建弘馬來西亞基金,1922558,0.22%,687605,0.08%,15490696,1.75%,2301288,0.26%,0,0.00%,8061462,0.91%,28463609,3.22%
2,97980043,建弘福王基金,12951889,1.24%,14871472,1.43%,16674114,1.60%,1563025,0.15%,0,0.00%,6203,0.00%,46066703,4.42%
15,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,91238458,0.30%,24330138,0.08%,0,0.00%,32319867,0.11%,147888463,0.49%
2,20092528,建弘店頭市場基金,16274591,1.62%,18266510,1.82%,16087073,1.60%,1508004,0.15%,0,0.00%,13491,0.00%,52149669,5.19%
4,81593453,建弘全球台商基金,4318322,0.63%,4126893,0.60%,11009512,1.60%,1651268,0.24%,0,0.00%,8363,0.00%,21114358,3.07%
2,73989002,建弘小型精選基金,10868668,1.00%,11722438,1.08%,17321093,1.60%,1623676,0.15%,0,0.00%,11253,0.00%,41547128,3.84%
2,19341318,建弘電子基金,15888846,1.13%,18630718,1.32%,22509489,1.60%,2110103,0.15%,0,0.00%,34226,0.00%,59173382,4.21%
2,17154324,建弘價值基金,9860380,1.59%,11413329,1.84%,9915843,1.60%,929456,0.15%,0,0.00%,6424,0.00%,32125432,5.19%
4,17612378,建弘亞洲科技基金,8214337,0.51%,2738965,0.17%,28000352,1.75%,4159884,0.26%,0,0.00%,1338567,0.08%,44452105,2.78%
4,14692567,建弘美國科技基金,959973,0.42%,9782,0.00%,4039204,1.75%,553795,0.24%,0,0.00%,369219,0.16%,5931973,2.57%
2,15739619,建弘大中華基金,5279259,1.62%,5687085,1.74%,5225298,1.60%,489714,0.15%,0,0.00%,5883,0.00%,16687239,5.11%
5,99019348,建弘高股息平衡基金,2059272,0.36%,2428447,0.43%,6811868,1.20%,681021,0.12%,0,0.00%,-46984,-0.01%,11933624,2.10%
5,99353151,建弘中概平衡基金,5849126,0.72%,6663428,0.82%,9801259,1.20%,979956,0.12%,0,0.00%,187243,0.02%,23481012,2.88%
8,29203166,建弘全球平衡組合基金,0,0.00%,0,0.00%,2080832,0.60%,436539,0.12%,0,0.00%,10254,0.00%,2527625,0.72%
7,21766114,建弘美元短期債券基金,0,0.00%,0,0.00%,3711954,0.68%,597603,0.11%,0,0.00%,15148,0.00%,4324705,0.79%
4,48712350,建弘旗艦基金,27733821,0.99%,29212420,1.04%,41174256,1.47%,5646602,0.20%,0,0.00%,77900,0.00%,103844999,3.70%
5,48795540,建弘歐洲動力平衡基金,6999597,0.10%,1826081,0.03%,29565539,0.42%,4139173,0.06%,0,0.00%,1125,0.00%,42531515,0.60%
3,1047806,匯豐台灣基金,21075366,0.22%,26159960,0.28%,117416686,1.25%,14271391,0.15%,0,0.00%,728239,0.01%,179651642,1.91%
2,989005,匯豐匯豐基金,4959243,0.68%,6761698,0.93%,10981347,1.50%,1464183,0.20%,0,0.00%,154978,0.02%,24321449,3.33%
2,1050013,匯豐成長基金,3995524,0.63%,5132486,0.81%,9483479,1.50%,1264464,0.20%,0,0.00%,2450,0.00%,19878403,3.15%
4,1021658,匯豐萬邦基金,2529299,0.73%,330265,0.10%,5162437,1.50%,412991,0.12%,0,0.00%,163878,0.05%,8598870,2.50%
5,971080,匯豐安富基金,8604626,0.36%,10697677,0.44%,28550293,1.18%,4141186,0.17%,0,0.00%,953637,0.04%,52947419,2.20%
2,76941376,匯豐成功基金,4984098,0.52%,6664946,0.70%,6706319,0.70%,2000000,0.21%,0,0.00%,47534,0.00%,20402897,2.13%
15,1013067,匯豐成龍基金,0,0.00%,0,0.00%,17955080,0.30%,4756275,0.08%,0,0.00%,4790,0.00%,22716145,0.38%
2,1031298,匯豐龍鳳基金,7719417,0.50%,9217638,0.60%,18419691,1.20%,1841982,0.12%,0,0.00%,271712,0.02%,37470440,2.45%
2,92017794,匯豐龍騰電子基金,18632530,0.43%,25819592,0.60%,51503624,1.20%,6437959,0.15%,0,0.00%,28580,0.00%,102422285,2.39%
15,92025871,匯豐富泰債券基金,0,0.00%,0,0.00%,33399503,0.26%,12078160,0.09%,0,0.00%,490,0.00%,45478153,0.36%
15,97993027,匯豐富泰二號債券基金,0,0.00%,0,0.00%,17172488,0.27%,5142730,0.08%,0,0.00%,340,0.00%,22315558,0.35%
