類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
3,21100568,國際台灣基金,17290244,0.28%,23775968,0.38%,79033662,1.27%,8790063,0.14%,60911782,0.98%,189801719,3.06%
2,965469,國際第一基金,548451,0.59%,824968,0.88%,1176324,1.26%,156850,0.17%,224345,0.24%,2930938,3.14%
2,1050148,國際國民基金,3621568,0.67%,4903001,0.91%,7330272,1.36%,977368,0.18%,524897,0.10%,17357106,3.21%
4,992769,國際全球基金,31507174,1.35%,746947,0.03%,34106722,1.46%,5930155,0.25%,4957481,0.21%,77248479,3.30%
5,971976,國際萬全基金,7556021,0.64%,10325955,0.87%,9241405,0.78%,1347704,0.11%,714167,0.06%,29185252,2.45%
6,1013101,國際萬寶基金,0,0.00%,0,0.00%,84709672,0.22%,24202763,0.06%,459164,0.00%,109371599,0.28%
2,92003790,國際精選二十基金,4673987,1.27%,6488521,1.77%,4290911,1.17%,400483,0.11%,303179,0.08%,16157081,4.41%
6,92023183,國際萬能基金,0,0.00%,0,0.00%,56957050,0.25%,16273445,0.07%,64854,0.00%,73295349,0.32%
3,97979257,國際台灣祥龍基金,556172,1.16%,804900,1.68%,1017292,2.13%,101733,0.21%,2050111,4.29%,4530208,9.48%
6,97991702,國際萬華基金,0,0.00%,0,0.00%,60263740,0.25%,10843942,0.04%,20774,0.00%,71128456,0.29%
7,20095341,國際萬通基金,0,0.00%,0,0.00%,21386119,1.56%,2352475,0.17%,26591,0.00%,23765185,1.74%
2,81584996,國際店頭基金,16622922,1.30%,23661778,1.84%,17724306,1.38%,1546850,0.12%,162869,0.01%,59718725,4.65%
2,73991751,國際電子基金,11444990,0.72%,16419789,1.03%,18984490,1.20%,2025015,0.13%,2843,0.00%,48877127,3.08%
2,17606299,國際金龍基金,9544283,1.19%,13557117,1.69%,14055002,1.75%,1317656,0.16%,539,0.00%,38474597,4.80%
3,986268,荷銀福爾摩莎基金,4997147,0.71%,5311176,0.75%,9085921,1.29%,1211450,0.17%,3095990,0.44%,23701684,3.35%
2,988316,荷銀光華基金,3938015,0.63%,4381484,0.70%,6888159,1.10%,911443,0.14%,348483,0.06%,16467584,2.62%
1,968493,荷銀鴻運基金,15647839,1.94%,17213029,2.14%,12975930,1.61%,1730125,0.21%,3779396,0.47%,51346319,6.37%
4,1021518,荷銀環球基金,2602260,0.28%,261602,0.03%,13589887,1.48%,3554868,0.39%,2659643,0.29%,22668260,2.47%
5,971103,荷銀鴻利基金,4193812,0.44%,4412407,0.47%,10476702,1.11%,1527846,0.16%,319825,0.03%,20930592,2.22%
3,1012861,荷銀福爾摩莎成長基金,26214112,0.67%,27057893,0.69%,42296947,1.08%,4229684,0.11%,19677966,0.50%,119476602,3.04%
6,1013051,荷銀鴻揚基金,0,0.00%,0,0.00%,29760682,0.24%,9043415,0.07%,160200,0.00%,38964297,0.31%
2,1031564,荷銀積極成長基金,8685727,1.12%,9273311,1.19%,8965626,1.15%,896559,0.12%,454062,0.06%,28275285,3.64%
4,92017008,荷銀新馬基金,596672,0.08%,60051,0.01%,10892855,1.51%,1742859,0.24%,4746818,0.66%,18039255,2.51%
6,92024520,荷銀債券基金,0,0.00%,0,0.00%,86189717,0.24%,27100707,0.07%,44771,0.00%,113335195,0.31%
4,97982106,荷銀日本基金,12059965,0.88%,0,0.00%,28450101,2.07%,4267515,0.31%,2256632,0.16%,47034213,3.42%
4,20089404,荷銀泰國基金,2447912,0.15%,74653,0.00%,30369924,1.85%,4555480,0.28%,2991684,0.18%,40439653,2.47%
2,81584948,荷銀店頭基金,1626897,0.00%,1786440,0.00%,2703395,0.00%,273384,0.00%,194,0.00%,6390310,0.00%
2,73991936,荷銀中小企業基金,2169757,0.00%,2185245,0.00%,3721347,0.00%,377073,0.00%,179,0.00%,8453601,0.00%
2,17600534,荷銀高科技基金,9994988,0.46%,10952341,0.51%,31726158,1.47%,2974326,0.14%,818,0.00%,55648631,2.57%
5,18036521,荷銀安利基金,3559801,0.35%,4160598,0.41%,16270852,1.60%,1627082,0.16%,17860,0.00%,25636193,2.52%
6,18479285,荷銀精選債券基金,0,0.00%,0,0.00%,22620292,0.29%,5170337,0.07%,1330,0.00%,27791959,0.35%
6,18493569,荷銀台灣債券基金,0,0.00%,0,0.00%,10538841,0.48%,2408889,0.11%,6090,0.00%,12953820,0.59%
3,966122,建弘台北基金,25299264,1.85%,28925580,2.12%,28183182,2.07%,3757606,0.28%,5841422,0.43%,92007054,6.75%
2,988701,建弘建弘基金,1280829,0.00%,1465399,0.00%,729445,0.00%,1312162,0.00%,127192,0.00%,4915027,0.00%
2,968521,建弘福元基金,21860505,1.97%,23987957,2.16%,16724770,1.51%,2229815,0.20%,876986,0.08%,65680033,5.91%
4,969710,建弘泛太基金,16432810,2.14%,0,0.00%,16542749,2.16%,2646687,0.35%,828817,0.11%,36451063,4.76%
2,971096,建弘雙福基金,8614112,1.11%,9190906,1.19%,7723556,1.00%,2000000,0.26%,531956,0.07%,28060530,3.62%
5,1013088,建弘廣福基金,1753718,0.23%,1864068,0.25%,3647600,0.48%,729369,0.10%,295641,0.04%,8290396,1.09%
3,1013279,建弘新台北基金,7354319,3.43%,8004686,3.73%,4859600,2.26%,1408135,0.66%,1868408,0.87%,23495148,10.94%
6,1032249,建弘全家福基金,0,0.00%,0,0.00%,82751513,0.16%,31900504,0.06%,437178,0.00%,115089195,0.22%
2,1032803,建弘萬得福基金,8622681,1.74%,9055193,1.83%,5651047,1.14%,564950,0.11%,376043,0.08%,24269914,4.90%
4,92010461,建弘馬來西亞基金,17037375,1.09%,2874683,0.18%,27529451,1.77%,4089881,0.26%,2225463,0.14%,53756853,3.45%
2,97980043,建弘福王基金,14019098,1.26%,14823260,1.33%,17950192,1.61%,1682677,0.15%,346,0.00%,48475573,4.34%
6,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,55026280,0.24%,14673535,0.06%,0,0.00%,69699815,0.30%
2,20092528,建弘店頭市場基金,20118132,1.36%,21734936,1.47%,18748106,1.27%,1757456,0.12%,328,0.00%,62358958,4.23%
4,81593453,建弘全球台商基金,3941251,0.62%,2608608,0.41%,9272027,1.47%,1390646,0.22%,245776,0.04%,17458308,2.76%
2,73989002,建弘小型精選基金,49592289,2.13%,54655011,2.35%,35169714,1.51%,3297009,0.14%,549,0.00%,142714572,6.13%
2,19341318,建弘電子基金,21997923,1.35%,23258064,1.43%,16754404,1.03%,1570571,0.10%,384,0.00%,63581346,3.91%
